"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2008","Latvia","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Latvia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Latvia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Latvia","Total","Age reached during the year","Unknown","Number","Total",":",""
"2008","Latvia","From 10 to 14 years","Age reached during the year","Total","Number","Total","104",""
"2008","Latvia","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Latvia","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Latvia","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Latvia","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Latvia","From 15 to 64 years","Age reached during the year","Total","Number","Total","3 745",""
"2008","Latvia","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Latvia","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Latvia","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Latvia","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Latvia","65 years or over","Age reached during the year","Total","Number","Total","349",""
"2008","Latvia","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Latvia","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Latvia","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Latvia","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Lithuania","Total","Age reached during the year","Total","Number","Total","9 297",""
"2008","Lithuania","Total","Age reached during the year","Reporting country","Number","Total","5 512",""
"2008","Lithuania","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Lithuania","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Lithuania","Total","Age reached during the year","Unknown","Number","Total","2",""
"2008","Lithuania","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2008","Lithuania","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Lithuania","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Lithuania","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Lithuania","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Lithuania","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2008","Lithuania","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Lithuania","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
