"TIME","GEO","PROJECTION","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2070","Liechtenstein","Baseline projections","Person","Total","Total","45 020",""
"2070","Lithuania","Baseline projections","Person","Total","Total","1 825 897",""
"2070","Luxembourg","Baseline projections","Person","Total","Total","787 429",""
"2070","Latvia","Baseline projections","Person","Total","Total","1 181 968",""
"2070","Malta","Baseline projections","Person","Total","Total","706 915",""
"2070","Netherlands","Baseline projections","Person","Total","Total","17 988 244",""
"2070","Norway","Baseline projections","Person","Total","Total","6 709 767",""
"2070","Poland","Baseline projections","Person","Total","Total","30 890 756",""
"2070","Portugal","Baseline projections","Person","Total","Total","8 481 486",""
"2070","Romania","Baseline projections","Person","Total","Total","13 688 060",""
"2070","Sweden","Baseline projections","Person","Total","Total","13 065 090",""
"2070","Slovenia","Baseline projections","Person","Total","Total","1 938 253",""
"2070","Slovakia","Baseline projections","Person","Total","Total","4 724 046",""
"2075","Austria","Baseline projections","Person","Total","Total","9 241 159",""
"2075","Belgium","Baseline projections","Person","Total","Total","11 835 088",""
"2075","Bulgaria","Baseline projections","Person","Total","Total","4 930 919",""
"2075","Switzerland","Baseline projections","Person","Total","Total","10 891 742",""
"2075","Cyprus","Baseline projections","Person","Total","Total","1 105 861",""
"2075","Czechia","Baseline projections","Person","Total","Total","10 135 219",""
"2075","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 860 528",""
"2075","Denmark","Baseline projections","Person","Total","Total","6 176 011",""
